"stateroute","mat.mean","elev.mean","map.mean","ndvi.mean","bio.mean.bio1","bio.mean.bio2","bio.mean.bio3","bio.mean.bio4","bio.mean.bio5","bio.mean.bio6","bio.mean.bio7","bio.mean.bio8","bio.mean.bio9","bio.mean.bio10","bio.mean.bio11","bio.mean.bio12","bio.mean.bio13","bio.mean.bio14","bio.mean.bio15","bio.mean.bio16","bio.mean.bio17","bio.mean.bio18","bio.mean.bio19","aou","occ","presence","ALPHA.CODE","latitude","longitude","sp_success","sp_fail","pred_glm_pr","pred_glm_occ","pred_gam_pr","pred_gam_occ","pred_rf_occ","pred_rf_pr","max_pred_pres"
44008,66.1458333333333,141.45,94.6083333333333,0.914546391263058,66.1834862385321,116.957186544343,28.8134556574924,9648.45871559633,263.391437308868,-135.467889908257,398.859327217125,20.8440366972477,67.1865443425076,187.293577981651,-62.8868501529052,1134.61773700306,119.844036697248,78.9571865443425,11.1957186544343,323.850152905199,253.275229357798,269.94495412844,270.874617737003,6450,0,0,"NAWA",44.2435971,-70.2385185,0,15,0.291374810032613,0.027024210537585,0.226118820792419,0.0230428447975324,0.00938492063492058,0.156117021276597,0.414945989847183
44009,55.7291666666667,287.95,95.9333333333333,0.917776521832077,56.6432926829268,122.006097560976,29.3780487804878,9792.9237804878,257.350609756098,-150.920731707317,408.271341463415,25.8231707317073,-22.2926829268293,179.076219512195,-74.8658536585366,1151.05487804878,120.146341463415,78.359756097561,11.2865853658537,324.463414634146,252.164634146341,292.44512195122,265.353658536585,6450,0,0,"NAWA",44.3180457,-70.6509909,0,15,0.314117390639943,0.029022678507272,0.350195348487967,0.0363782214034738,0.0353949903660886,0.415520282186949,0.474980592727661
44010,40.1008771929825,438.157894736842,91.5394736842105,0.907512105629992,39.6328358208955,118.797014925373,28.4955223880597,9971.94626865672,239.540298507463,-169.90447761194,409.444776119403,103.949253731343,-82.3044776119403,163.388059701493,-94.7313432835821,1090.63582089552,111.668656716418,66.9014925373134,13.4716417910448,309.95223880597,222.4,305.382089552239,234.886567164179,6450,0.0666666666666667,1,"NAWA",44.8937287,-70.4462749,1,14,0.419955370933218,0.0390416151745558,0.504632277236213,0.0500799168642273,0.0647637292464879,0.756936936936938,0.614978492259979
44011,38.9583333333333,491.227272727273,91.7613636363636,0.900372430593195,38.6,119.461538461538,28.6707692307692,9959.26153846154,238.375384615385,-170.926153846154,409.301538461538,125.147692307692,-83.2307692307692,162.206153846154,-95.4646153846154,1101.55692307692,114.769230769231,67.2553846153846,14.4523076923077,318.32,220.886153846154,316.101538461538,233.633846153846,6450,0,0,"NAWA",44.7523767,-70.8427189,0,15,0.401902491429022,0.0375235680735676,0.480370652180849,0.047233320494385,0.0728815628815628,0.836877394636015,0.564846575260162
44012,64.2103174603175,171.285714285714,95.8333333333333,0.916021715740231,63.5398773006135,121.539877300613,29.5153374233129,9693.44785276074,262.981595092025,-141.895705521472,404.877300613497,17.4233128834356,45.8742331288344,185.042944785276,-66.4846625766871,1153.38650306748,122.156441717791,81.0828220858896,11.2760736196319,329.064417177914,256.450920245399,279.371165644172,274.423312883436,6450,0,0,"NAWA",44.1485557,-70.5624489,0,15,0.304742158224658,0.0277635526049374,0.252836797817091,0.0259410075263584,0.0254562383612663,0.295065176908752,0.412473291158676
44013,62.4791666666667,178.4,94.0375,0.917699934210526,63.0496894409938,118.903726708075,28.9565217391304,9728.88198757764,262.316770186335,-141.142857142857,403.459627329193,17.3354037267081,25.1180124223602,184.959627329193,-67.3198757763975,1128.42236024845,118.518633540373,77.3913043478261,11.0465838509317,320.142857142857,250.975155279503,275.791925465839,264.673913043478,6450,0.0666666666666667,1,"NAWA",44.3340297,-70.2908259,1,14,0.308273768171236,0.0284480525782157,0.250761732402401,0.0258910252286952,0.014003350083752,0.120050761421321,0.421501129865646
44014,73.5666666666667,61.75,95.1958333333333,0.824835157894737,73.4983922829582,110.491961414791,28.3344051446945,9367.30225080386,263.48231511254,-119.665594855305,383.147909967846,30.0771704180064,178.581993569132,191.488745980707,-51.2508038585209,1141.30225080386,122.009646302251,79.3729903536977,12.3826366559486,331.061093247588,249.392282958199,253.495176848875,284.006430868167,6450,0,0,"NAWA",44.0133537,-69.9697909,0,15,0.243048044098641,0.0223078824081571,0.169396692396463,0.0153970007007894,0.0273684210526316,0.383620689655172,0.362773597240448
44015,68.7625,94.55,92.9541666666667,0.914389583333333,68.8567073170732,116.734756097561,28.9298780487805,9600.54268292683,265.935975609756,-131.128048780488,397.064024390244,23.9786585365854,63.7408536585366,189.289634146341,-59.5823170731707,1116.36280487805,117.57012195122,76.5975609756098,11.280487804878,319.432926829268,248.868902439024,262.829268292683,264.832317073171,6450,0,0,"NAWA",44.3246967,-69.8599649,0,15,0.303136979852387,0.0278709201444619,0.186266108786842,0.0186190559182075,0.0393677102516881,0.646345811051694,0.427473187446594
44016,63.8492063492063,92.3809523809524,92.2023809523809,0.911037990310986,63.8079268292683,118.939024390244,28.9176829268293,9755.18597560976,263.615853658537,-140.737804878049,404.353658536585,18.0030487804878,-2.93292682926829,185.771341463415,-67.6676829268293,1102.89024390244,117.420731707317,75.1189024390244,11.9573170731707,319.271341463415,240.173780487805,263.594512195122,260.588414634146,6450,0,0,"NAWA",44.6821857,-69.2114429,0,15,0.348787439268389,0.0312807295443238,0.250885678025294,0.0252250645059412,0.0386559139784946,0.487704918032787,0.492603212594986
44017,73.5634920634921,53.1428571428571,97.2738095238095,0.743312035663217,73.0871212121212,111.818181818182,28.9356060606061,9258.76515151515,262.681818181818,-118.268939393939,380.950757575758,30.7083333333333,156.147727272727,189.261363636364,-50.6590909090909,1161.2196969697,127.049242424242,79.2272727272727,13.7651515151515,344.636363636364,250.193181818182,251.55303030303,287.916666666667,6450,0,0,"NAWA",44.1600057,-69.2435129,0,15,0.23553723597798,0.0207169590982734,0.160733245845339,0.0137496977891742,0.00504137115839237,0.0793478260869576,0.342629730701447
