"AOU","rmse_occ","AUC","rmse_pres","AUC_pres","rmse_gam","AUC_gam","rmse_gam_pres","AUC_gam_pres","rmse_rf","AUC_RF","rmse_rf_pres","AUC_RF_pres","AUC_me_pres"
7540,0.165113550447828,0.514161735700197,0.294297019465151,0.726358811687916,0.146074216603372,0.601577909270217,0.286043661845609,0.789702921978893,0.167988377932853,0.432899408284024,0.296610958449549,0.7358018666504,0.785432806685781
7550,0.33953224861189,0.737399823730759,0.404167029186673,0.590183474522157,0.326202694725776,0.577794174916477,0.392451123576342,0.675332818664307,0.335565827502517,0.549550103506938,0.395762946115244,0.695338755383028,0.659266861259114
7560,0.275484193382163,0.622132374962564,0.337522437475866,0.694136073326508,0.260891913712,0.569781371668164,0.328586265732279,0.741722734142655,0.273847882110178,0.640011979634621,0.334412658538819,0.729780361757106,0.757116912876018
7580,0.249456354863397,0.539974025974026,0.318541369486326,0.664222113022113,0.242283662846618,0.562545454545455,0.31418593833121,0.719549877149877,0.25580868676225,0.580519480519481,0.320409733426056,0.683345454545455,0.739614742014742
7590,0.25673236850295,0.721873751967487,0.322462002518265,0.664590527873705,0.246227341571894,0.669133366222661,0.313518885203728,0.742121326875908,0.255598962493814,0.629149341038833,0.32128030793,0.71276847071576,0.741492492200366
7610,0.359050708535226,0.452935874323976,0.375825682105844,0.603854041695194,0.351084731175128,0.756824620139068,0.370391966509126,0.662868633128773,0.352161062595699,0.649768220448107,0.371475532462085,0.694137516252834,0.681028466800249
7630,0.251650851120894,0.868965517241379,0.31250939093448,0.615095203821239,0.205700594584276,0.754563894523327,0.293809111803969,0.789962703657659,0.260237882900671,0.641379310344828,0.321564786014127,0.619675456389452,0.752012039521036
7660,0.347005411956086,0.78457937905269,0.409189643888865,0.564673636914067,0.335793208382239,0.826942070683214,0.401520380291977,0.64526570212987,0.340088824283158,0.594602138532228,0.402609934375944,0.683329762177237,0.654704105368584
7670,0.235995079601729,0.544538621461698,0.351868985400082,0.632239382239382,0.200131796239069,0.607708300015992,0.334513554389445,0.764157014157014,0.233302605608002,0.478650247881017,0.354491332681405,0.653722403722404,0.763439263439263
7680,0.213974755942676,0.548370927318296,0.292610696798683,0.715217054983137,0.200508754690919,0.64182678919521,0.287449311290589,0.774315418175067,0.216500048851116,0.56463380673907,0.297704458627942,0.708546056499273,0.775720164609053
2881,0.0754894724382852,0.608298203812317,0.241044059335958,0.667909452087287,0.0617089083980843,0.738567631964809,0.22741256369072,0.848160282258065,0.072934452280432,0.639250366568915,0.234839535291281,0.779908384724858,0.845432578273245
2890,0.310710733098171,0.79408824168659,0.39553939526472,0.571410293089198,0.294657548235522,0.733434760559299,0.38336568190294,0.680980195816644,0.302783525052037,0.619995653118887,0.388568655570043,0.696934007247759,0.681285364613135
3000,0.0707177685172848,0.596643778026906,0.259638279194858,0.664439461883408,0.0684615417926043,0.674929932735426,0.254871874653411,0.751255605381166,0.0714977718453933,0.657707399103139,0.263012784486195,0.681707772795217,0.761953163926258
3120,0.17062995216389,0.455941114616193,0.267171392524149,0.759020975150811,0.144444806474106,0.63080967402734,0.253596207096489,0.841233604516022,0.177837207571526,0.540536277602524,0.280753882991089,0.689357463058277,0.835422546903536
3160,0.376208791444826,0.599249728408474,0.388063296684627,0.585304733334055,0.369097121915017,0.705238321564367,0.383085220348871,0.644301544919583,0.371485128647662,0.735368006518197,0.38559889334226,0.672834097376865,0.652764820841927
3190,0.289651697376951,0.611764705882353,0.383953267246289,0.799078947368421,0.213710074180114,0.715588235294118,0.279555244223293,0.945460526315789,0.298130072430395,0.820294117647059,0.364443547207911,0.835592105263158,0.877763157894737
3200,0.208475296832031,0.547245306248076,0.329208455136444,0.698791236464367,0.178360007849475,0.795937211449677,0.27804346676236,0.892092671871065,0.219044903657055,0.841489689135118,0.328414726197093,0.794359103500378,0.883379501385042
3250,0.271023442027668,0.67201812571373,0.389108806224937,0.586800023602998,0.261962374690742,0.661588551157762,0.382615219848661,0.659380470486418,0.26622443115153,0.548867750321938,0.383927706994054,0.683651400116704,0.665174678573068
3390,0.190949312778429,0.63257546769447,0.359478351902473,0.610835393656623,0.182689235190259,0.537659057862624,0.348595731349585,0.717389454121298,0.192965337722318,0.515246596213918,0.355899529526996,0.701601471154544,0.71232608173949
3850,0.161234835087359,0.560541813898704,0.326271870325379,0.669403450426107,0.147504455813735,0.574676089517079,0.310437289221097,0.794117647058823,0.165190446665929,0.524028268551237,0.334178120559964,0.676564123882769,0.778777800872999
3870,0.292463397736839,0.777662028757422,0.40435447888856,0.564787295010957,0.281621133817998,0.774890013591816,0.397791054150378,0.642237119938463,0.286474845367977,0.620278632234065,0.401495102293503,0.670026427473911,0.653170820870088
3880,0.11561049347277,0.51596069630306,0.313058021858393,0.690345869520851,0.108930587099695,0.581423987344621,0.304015452954956,0.770934431619765,0.110196685452646,0.646192775887902,0.305508318312581,0.779391256037552,0.778923558357332
3930,0.179903735134647,0.533547140689998,0.349111620998605,0.635561508366624,0.175479341513669,0.560303453160596,0.342372287977318,0.708004889827998,0.177810080078785,0.579420579420579,0.345282640350954,0.717160612348126,0.712184628724841
3940,0.258985639127484,0.707520622462918,0.357789214813948,0.656679624274497,0.251303548964379,0.683449417647712,0.353238861308076,0.6998427245618,0.254215240897868,0.582774632319225,0.354291774626962,0.725060423133756,0.712055087709433
3960,0.25152129210959,0.567272727272727,0.352032253396094,0.76055469953775,0.194341512688919,0.623272727272727,0.34579927063798,0.766656394453005,0.260169180903718,0.541818181818182,0.381464032503109,0.646101694915254,0.775963020030817
4020,0.257717933930653,0.580689655172414,0.335658071089305,0.720816696914701,0.244489352831261,0.614827586206897,0.320536398003445,0.799115245009074,0.25798074157686,0.663965517241379,0.335954522209782,0.741715063520871,0.786456442831216
4021,0.193793776951182,0.551578947368421,0.293959622617848,0.789297317367493,0.154568173827248,0.564210526315789,0.274241058468209,0.860326742782883,0.194837663261454,0.489924812030075,0.298377687698725,0.792481203007519,0.840907825118351
4050,0.269125950813887,0.526705983227722,0.397405975042118,0.598631113299385,0.260689963031056,0.578173034694774,0.388482727315888,0.680105553807976,0.263616475232714,0.613265156743418,0.387268598830608,0.705028318387729,0.693949423526676
