"AOU","CommonName","CRC_SCI_NAME","migclass","n_routes","rmse_occ_15yr","rmse_pres_15yr","rmse_gam_15yr","rmse_gam_pres_15yr","rmse_rf_15yr","rmse_rf_pres_15yr","rmse_me_pres_15yr","rmse_occ_5yr","rmse_pres_5yr","rmse_gam_5yr","rmse_gam_pres_5yr","rmse_rf_5yr","rmse_rf_pres_5yr","rmse_me_pres_5yr","sensitivity_glmocc.x","specificity_glmocc.x","pp_glmocc.x","np_glmocc.x","sensitivity_glmpr.x","specificity_glmpr.x","pp_glmpr.x","np_glmpr.x","sensitivity_gamocc.x","specificity_gamocc.x","pp_gamocc.x","np_gamocc.x","sensitivity_gampr.x","specificity_gampr.x","pp_gampr.x","np_gampr.x","sensitivity_rfocc.x","specificity_rfocc.x","pp_rfocc.x","np_rfocc.x","sensitivity_rfpr.x","specificity_rfpr.x","pp_rfpr.x","np_rfpr.x","sensitivity_max.x","specificity_max.x","pp_max.x","np_max.x","sensitivity_glmocc.y","specificity_glmocc.y","pp_glmocc.y","np_glmocc.y","sensitivity_glmpr.y","specificity_glmpr.y","pp_glmpr.y","np_glmpr.y","sensitivity_gamocc.y","specificity_gamocc.y","pp_gamocc.y","np_gamocc.y","sensitivity_gampr.y","specificity_gampr.y","pp_gampr.y","np_gampr.y","sensitivity_rfocc.y","specificity_rfocc.y","pp_rfocc.y","np_rfocc.y","sensitivity_rfpr.y","specificity_rfpr.y","pp_rfpr.y","np_rfpr.y","sensitivity_max.y","specificity_max.y","pp_max.y","np_max.y"
7020,"Sage Thrasher","Oreoscoptes montanus","short",868,0.350236420217531,0.421110643953334,0.155150674866954,0.382452240983532,0.359426404662977,0.458909030251066,0.408202646344021,0.363585891900753,0.427494879488217,0.21337987086504,0.362930434282114,0.367542347153309,0.436875826998092,0.403250695940381,69.3877551020408,75,62.962962962963,80,93.8775510204082,41.25,49.4623655913978,91.6666666666667,77.5510204081633,91.25,84.4444444444444,86.9047619047619,93.8775510204082,45,51.1111111111111,92.3076923076923,61.2244897959184,76.25,61.2244897959184,76.25,83.6734693877551,42.5,47.1264367816092,80.9523809523809,85.7142857142857,23.75,40.7766990291262,73.0769230769231,57.8947368421053,67.9245283018868,72.1311475409836,52.9411764705882,84.2105263157895,43.3962264150943,68.0851063829787,65.7142857142857,43.421052631579,81.1320754716981,76.7441860465116,50,85.5263157894737,49.0566037735849,70.6521739130435,70.2702702702703,64.4736842105263,64.1509433962264,72.0588235294118,55.7377049180328,80.2631578947368,43.3962264150943,67.032967032967,60.5263157894737,96.0526315789474,22.6415094339623,64.0350877192982,80
7030,"Northern Mockingbird","Mimus polyglottos","resid",4588,0.222002387477714,0.277356400705186,0.165694631172316,0.227867550537195,0.187256171807346,0.254678722916149,0.334485260916968,0.231563084726371,0.266734229608341,0.176505274080842,0.21927630218253,0.201541040375487,0.248909446952088,0.321461834302684,88.4422110552764,84.3881856540084,82.6291079812207,89.6860986547085,96.4824120603015,65.4008438818565,70.0729927007299,95.679012345679,92.462311557789,84.5991561181435,83.4467120181406,93.0394431554524,98.9949748743718,69.1983122362869,72.962962962963,98.7951807228916,90.9547738693467,83.7552742616034,82.4601366742597,91.6859122401847,98.2412060301507,70.253164556962,73.4962406015038,97.9411764705882,0,100,NA,54.3577981651376,77.2477064220184,97.2477064220184,97.9069767441861,71.9457013574661,90.2752293577982,83.4862385321101,90.1098901098901,83.7423312883436,78.8990825688073,97.2477064220184,97.9498861047836,73.4411085450346,92.8440366972477,88.3792048929664,93.0147058823529,88.109756097561,79.2660550458716,97.2477064220184,97.9591836734694,73.7819025522042,91.743119266055,90.519877675841,94.1619585687382,86.8035190615836,94.3119266055046,83.7920489296636,90.652557319224,89.8360655737705
7040,"Gray Catbird","Dumetella carolinensis","neotrop",3932,0.28413643429285,0.274847301416841,0.217969705470159,0.239465110023776,0.233142468267379,0.260717600532271,0.379637143105228,0.295746748816814,0.313680034824951,0.240855842012376,0.284337412187095,0.252345344885196,0.301680778277907,0.385486343271505,92.2902494331066,46.5798045602606,71.2784588441331,80.7909604519774,98.4126984126984,16.9381107491857,62.9898403483309,88.135593220339,90.4761904761905,56.3517915309446,74.859287054409,80.4651162790698,98.8662131519274,23.1270358306189,64.8809523809524,93.4210526315789,87.0748299319728,61.5635179153095,76.4940239043825,76.8292682926829,98.8662131519274,21.8241042345277,64.4970414201183,93.0555555555556,0,100,NA,41.0427807486631,85.4517611026034,81.0526315789474,96.875,44.7674418604651,95.8652373660031,37.8947368421053,91.3868613138686,57.1428571428571,78.8667687595712,85.2631578947368,97.3534971644612,36.986301369863,95.5589586523737,47.3684210526316,92.5816023738872,60.8108108108108,76.1102603369066,88.4210526315789,97.8346456692913,35,96.7840735068913,48.4210526315789,92.8046989720999,68.6567164179104,98.468606431853,36.8421052631579,91.4651493598862,77.7777777777778
7050,"Brown Thrasher","Toxostoma rufum","short",3313,0.27876902910649,0.237217983841299,0.207040497380153,0.208739863359329,0.221519998090298,0.230901002121963,0.384962367534347,0.300664085158346,0.289424935855051,0.234187705580979,0.252603522502692,0.253737681118263,0.271751129870507,0.39100637482671,95.5555555555556,30.8943089430894,69.4793536804309,80.8510638297872,100,4.47154471544715,63.28125,100,93.8271604938272,51.6260162601626,76.1523046092184,83.5526315789474,99.7530864197531,7.72357723577236,64.0253565768621,95,92.0987654320988,49.5934959349593,75.0503018108652,79.2207792207792,99.5061728395062,7.72357723577236,63.968253968254,90.4761904761905,0,100,NA,37.7880184331797,89.7350993377484,63.8297872340426,96.95885509839,32.6086956521739,98.841059602649,4.25531914893617,92.9906542056075,22.2222222222222,81.2913907284768,82.9787234042553,98.3967935871743,25.6578947368421,96.3576158940397,12.7659574468085,93.4189406099518,21.4285714285714,81.7880794701987,89.3617021276596,98.997995991984,27.6315789473684,98.1788079470199,19.1489361702128,93.9778129952456,45,99.8344370860927,2.12765957446809,92.9121725731895,50
7150,"Rock Wren","Salpinctes obsoletus","short",1615,0.313342070899382,0.397787141211379,0.256896142092458,0.360748738277841,0.319904844418145,0.388991246080115,0.394157431777123,0.332673943468052,0.423869244550497,0.288556090454983,0.380533551442801,0.341125575686111,0.422767527234046,0.402119327354158,76.5432098765432,66.6666666666667,51.6666666666667,85.9259259259259,97.5308641975309,30.4597701149425,39.5,96.3636363636364,71.6049382716049,83.9080459770115,67.4418604651163,86.3905325443787,96.2962962962963,35.0574712643678,40.8376963350785,95.3125,65.4320987654321,78.1609195402299,58.2417582417582,82.9268292682927,95.0617283950617,37.3563218390805,41.3978494623656,94.2028985507246,91.358024691358,13.2183908045977,32.8888888888889,76.6666666666667,63.030303030303,74.4444444444444,81.8897637795276,52.34375,92.7272727272727,47.7777777777778,76.5,78.1818181818182,50.9090909090909,83.3333333333333,84.8484848484848,48.0769230769231,87.8787878787879,53.3333333333333,77.5401069518716,70.5882352941177,52.1212121212121,83.3333333333333,85.1485148514851,48.7012987012987,88.4848484848485,58.8888888888889,79.7814207650273,73.6111111111111,95.7575757575758,44.4444444444444,75.9615384615385,85.1063829787234
7170,"Canyon Wren","Catherpes mexicanus","resid",1193,0.19450130266243,0.432121735491529,0.118177166016762,0.355244824192414,0.203034361490524,0.436700816095609,0.456749206896157,NA,NA,NA,NA,NA,NA,NA,28.5714285714286,93.4426229508197,25,94.475138121547,64.2857142857143,66.6666666666667,12.8571428571429,96.0629921259843,28.5714285714286,98.9071038251366,66.6666666666667,94.7643979057592,50,74.8633879781421,13.2075471698113,95.1388888888889,14.2857142857143,92.896174863388,13.3333333333333,93.4065934065934,57.1428571428571,71.0382513661202,13.1147540983607,95.5882352941177,92.8571428571429,15.3005464480874,7.73809523809524,96.551724137931,41.9354838709677,76.2962962962963,44.8275862068966,74.1007194244604,67.741935483871,57.7777777777778,42.4242424242424,79.5918367346939,20.9677419354839,91.8518518518518,54.1666666666667,71.6763005780347,51.6129032258064,68.8888888888889,43.2432432432432,75.609756097561,50,75.5555555555556,48.4375,76.6917293233083,61.2903225806452,71.1111111111111,49.3506493506493,80,82.258064516129,42.2222222222222,39.5348837209302,83.8235294117647
7180,"Carolina Wren","Thryothorus ludovicianus","resid",2056,0.19467031911113,0.189425642889545,0.126599434938214,0.12019344293161,0.154216414769208,0.193217085293304,0.37773231584658,0.211113074819132,0.233151679997216,0.162749487402243,0.154167189223345,0.189403780886514,0.223500692728401,0.37628293349917,94.7368421052632,54.1666666666667,81.3559322033898,82.9787234042553,100,4.86111111111111,68.9342403628118,100,95.3947368421053,56.25,82.1529745042493,85.2631578947368,99.6710526315789,13.8888888888889,70.96018735363,95.2380952380952,95.7236842105263,54.8611111111111,81.7415730337079,85.8695652173913,99.6710526315789,7.63888888888889,69.4954128440367,91.6666666666667,0,100,NA,32.1428571428571,82.5882352941177,95.6521739130435,99.7159090909091,22.9166666666667,98.3529411764706,4.34782608695652,95,12.5,82.8235294117647,95.6521739130435,99.7167138810198,23.1578947368421,97.4117647058823,43.4782608695652,96.9555035128806,47.6190476190476,83.5294117647059,100,100,24.7311827956989,98.5882352941176,30.4347826086957,96.3218390804598,53.8461538461538,100,0,94.8660714285714,NA
7190,"Bewick's Wren","Thryomanes bewickii","short",1063,0.365346451918552,0.421617176627006,0.253412926287654,0.276631328414081,0.324167910141306,0.405402138799415,0.421228997688895,0.381408984910219,0.449875356826532,0.261132143783575,0.314433385965544,0.350354878817122,0.450696852863924,0.425919947764362,66.6666666666667,62.5,48.4848484848485,77.9816513761468,97.2222222222222,15.4411764705882,37.8378378378378,91.304347826087,72.2222222222222,77.9411764705882,63.4146341463415,84.1269841269841,94.4444444444444,36.7647058823529,44.1558441558442,92.5925925925926,68.0555555555556,69.8529411764706,54.4444444444444,80.5084745762712,90.2777777777778,22.7941176470588,38.2352941176471,81.5789473684211,0,100,NA,65.3846153846154,63.758389261745,62.7118644067797,81.1965811965812,40.6593406593407,92.6174496644295,15.2542372881356,73.4042553191489,45,46.3087248322148,76.271186440678,83.1325301204819,36,81.2080536912752,49.1525423728814,80.1324503311258,50.8771929824561,54.3624161073826,77.9661016949153,86.1702127659574,40.3508771929825,87.9194630872483,33.8983050847458,77.0588235294118,52.6315789473684,100,6.77966101694915,73.0392156862745,100
7210,"House Wren","Troglodytes aedon","neotrop",3640,0.332986469067693,0.28974177040299,0.269551353827946,0.272500222969674,0.282538245512041,0.285809581982026,0.389279373896417,0.341055146513167,0.341822508908709,0.281579003053393,0.314686124513383,0.298310676257104,0.332667124297917,0.400469118562254,89.7155361050328,33.5664335664336,68.3333333333333,67.1328671328671,99.562363238512,9.09090909090909,63.6363636363636,92.8571428571429,89.9343544857768,52.7972027972028,75.2747252747253,76.6497461928934,98.9059080962801,12.9370629370629,64.4793152639087,88.0952380952381,87.527352297593,54.8951048951049,75.6143667296786,73.3644859813084,98.2494529540481,14.6853146853147,64.7907647907648,84,0,100,NA,38.492597577389,86.3705972434916,51.1111111111111,92.7631578947368,34.0740740740741,98.7748851454824,22.2222222222222,90.2097902097902,71.4285714285714,81.1638591117917,74.4444444444444,95.8408679927667,35.2631578947368,97.8560490045942,27.7777777777778,90.7670454545455,64.1025641025641,79.7856049004594,77.7777777777778,96.3031423290203,34.6534653465347,97.0903522205207,32.2222222222222,91.2230215827338,60.4166666666667,98.7748851454824,20,89.9581589958159,69.2307692307692
7222,NA,NA,NA,NA,0.289792158355186,0.379422392902934,0.150086599251835,0.248248754857035,0.227978394965368,0.30552329178166,0.321331085965856,0.299097956512029,0.387946903671224,0.170309352725829,0.276839986416876,0.243897803446361,0.330415632426999,0.321696070712892,66.0377358490566,80.6201550387597,41.1764705882353,92.0353982300885,90.5660377358491,50,27.1186440677966,96.2686567164179,79.2452830188679,89.5348837209302,60.8695652173913,95.4545454545455,96.2264150943396,62.015503875969,34.2281879194631,98.7654320987654,69.811320754717,90.6976744186046,60.655737704918,93.6,94.3396226415094,62.7906976744186,34.2465753424658,98.1818181818182,0,100,NA,82.9581993569132,50.6849315068493,85.4545454545455,75.5102040816327,66.1971830985916,84.2465753424658,65.4545454545455,68.3333333333333,82.4427480916031,45.2054794520548,95.1515151515152,89.1891891891892,66.2447257383966,88.3561643835616,85.4545454545455,84.3137254901961,89.2405063291139,48.6301369863014,98.7878787878788,97.2602739726027,68.4873949579832,87.6712328767123,86.6666666666667,85.3333333333333,88.8198757763975,91.7808219178082,76.969696969697,77.9069767441861,91.3669064748201
7240,"Sedge Wren","Cistothorus platensis","short",955,0.234348662688403,0.408802263466143,0.157864187858291,0.351376781658198,0.219198062962025,0.408016649873928,0.406824265921754,0.267001113924228,0.39458973898596,0.196227385875622,0.335016925760932,0.259026609948407,0.389520690014856,0.390077228714536,78.5714285714286,77.9141104294479,55,91.3669064748201,98.2142857142857,35.5828220858896,34.375,98.3050847457627,80.3571428571429,84.0490797546012,63.3802816901408,92.5675675675676,96.4285714285714,46.6257668711656,38.2978723404255,97.4358974358974,69.6428571428571,79.1411042944785,53.4246575342466,88.3561643835616,96.4285714285714,45.398773006135,37.7622377622378,97.3684210526316,0,100,NA,74.4292237442922,56.1643835616438,93.1506849315068,94.2528735632184,51.5151515151515,82.8767123287671,38.3561643835616,72.8915662650602,52.8301886792453,45.8904109589041,94.5205479452055,94.3661971830986,46.6216216216216,76.7123287671233,64.3835616438356,81.1594202898551,58.0246913580247,50,95.8904109589041,96.0526315789474,48.951048951049,82.8767123287671,63.013698630137,81.7567567567568,64.7887323943662,92.4657534246575,27.3972602739726,71.8085106382979,64.5161290322581
7250,"Marsh Wren","Cistothorus palustris","short",2624,0.252010471265609,0.399427315449037,0.17799719304343,0.346560517774789,0.211968616871889,0.376487496216855,0.411023222872908,0.261738339160734,0.362308921057689,0.183719651190736,0.293346120643211,0.22073609058993,0.333221141352699,0.38759938347431,51.3513513513513,88.6454183266932,25,96.1123110151188,51.3513513513513,82.0717131474104,17.4311926605505,95.8139534883721,43.2432432432432,97.0119521912351,51.6129032258064,95.8661417322835,67.5675675675676,86.0557768924303,26.3157894736842,97.2972972972973,29.7297297297297,98.207171314741,55,94.990366088632,54.0540540540541,87.6494023904382,24.390243902439,96.2800875273523,0,100,NA,93.1354359925788,40.1459854014599,87.3134328358209,51.8867924528302,81.0623556581986,47.4452554744526,81.0945273631841,46.0992907801418,81.9095477386935,24.0875912408759,97.0149253731343,73.3333333333333,78.9473684210526,42.3357664233577,88.8059701492537,56.3106796116505,81.8807339449541,19.7080291970803,98.0099502487562,77.1428571428572,78.1746031746032,47.4452554744526,89.8009950248756,61.3207547169811,83.3718244803695,73.7226277372263,65.9203980099502,42.436974789916,88.0398671096346
