"AOU","rmse_occ","rmse_pres","rmse_gam","rmse_gam_pres","rmse_rf","rmse_rf_pres","rmse_me_pres"
4880,0.246566585146213,0.245116329351057,0.204269490545863,0.202473890655943,0.228455892614037,0.2288792940143,0.384026615351012
4900,0.319208343463239,0.31074985249294,0.231601919722627,0.262837369940514,0.33093798465899,0.335432152680189,0.404130506491755
4910,0.28073783167355,0.386414924710539,0.172571850116697,0.314272131818478,0.284247005312462,0.381698199670999,0.357309159651578
4930,0.300312892821596,0.282867814759304,0.26235826228928,0.258572312590877,0.283289269430538,0.282858461609428,0.389210362424521
4940,0.379001964567149,0.410030461946717,0.267961031891537,0.307932822773776,0.32581484754446,0.365564269398527,0.396157249036961
4950,0.249951500266902,0.173730590407462,0.199907602011738,0.161055078920835,0.207661682984294,0.167024683263964,0.378005811812887
4970,0.340901759049886,0.440634071630548,0.238399179049798,0.359304443564055,0.32065639417216,0.426164174168362,0.419830688168064
4980,0.25158383584659,0.22379433567695,0.221099462929945,0.199078204118362,0.238019046545524,0.221993389830389,0.381621041572343
5010,0.309766364947337,0.282506623680754,0.24356067430545,0.251817783315684,0.267350470472563,0.268856169091826,0.389029641856253
5011,0.369978862103541,0.401040452094142,0.281187133798639,0.352476414952288,0.315923545675502,0.367669695714621,0.403109240153245
5060,0.340589437770985,0.356113037853606,0.256974051845787,0.303802909706166,0.274258593236892,0.333483943690246,0.391218055201745
5070,0.308499663809257,0.297654523125473,0.215398393941276,0.223794093901945,0.21874459155763,0.241176491799596,0.326849361905653
5080,0.372601079991595,0.435860014083864,0.302589072566801,0.414387234314416,0.369269511156458,0.461904398927088,0.441855157603963
5100,0.361969819866971,0.385863001977595,0.281957815837996,0.347154567365762,0.333067801264262,0.375332670835072,0.402110770109683
5110,0.241979574171179,0.213336781090232,0.190844556930667,0.186047325225432,0.212076137294921,0.21029134740335,0.377470703414857
5120,0.310389800701233,0.422658270382593,0.174540867838172,0.343940145718537,0.306912913111297,0.426640903712105,0.395593381172234
5140,0.260853515216462,0.452748995269991,0.206533761820954,0.387937225811404,0.261167066215424,0.447897446170522,0.440185389956414
5170,0.346277420925553,0.374766405233484,0.263203464153309,0.339997053610915,0.321178949589737,0.369310922840352,0.401580198689014
5180,0.345889978521692,0.419592985782442,0.206286711007491,0.352930191660685,0.340671916066479,0.446470539644342,0.4178398011137
5190,0.358587319507822,0.351746825142474,0.304439466128381,0.318516674069227,0.318346152719275,0.340093213209973,0.412494178547903
5210,0.286921833218991,0.405280287010897,0.23885814889505,0.364032393972969,0.268530623239229,0.398410319752142,0.387712499366941
5290,0.264883192601712,0.285690717512335,0.197413837342404,0.246197874252028,0.220596959377343,0.264723823649579,0.38899746105895
5300,0.334220410098564,0.398204021803965,0.231412050813975,0.34831920636419,0.320922054050082,0.420642715292751,0.381859205836488
5330,0.294455147841222,0.420894384196511,0.256855957097057,0.385065209343007,0.294055631016659,0.420479574530934,0.41010992127056
5400,0.379223610159707,0.43113885757964,0.312162389820587,0.39313619805368,0.336793611984245,0.396724380923866,0.413080715879601
5420,0.376192429634596,0.406142000183318,0.3333485612084,0.378153168940525,0.348229489933146,0.40009677404176,0.412540738239023
5460,0.361061232797801,0.444413975098163,0.301961279576864,0.390684092392082,0.307156168980311,0.401130401486146,0.417603629409548
5520,0.343509244796436,0.394621084883641,0.265270671740431,0.352150453899793,0.294748409927572,0.38283714038501,0.389187049819764
5540,0.316175484592768,0.359797472372023,0.12026665404302,0.000407923215804941,0.308263494038041,0.349276465049007,0.375403408551678
5580,0.293165101398867,0.30054731383734,0.165697966023374,4.75781964954874e-06,0.293224528378181,0.317627877438058,0.35402157904784
5600,0.293849860990552,0.289523575757734,0.206140680833147,0.225045382405958,0.234482173903782,0.250856926782259,0.380356345756174
