"AOU","rmse_occ_notrans","rmse_pres_notrans","rmse_gam_notrans","rmse_gam_pres_notrans","rmse_rf_notrans","rmse_rf_pres_notrans","rmse_me_pres_notrans"
4650,0.235135410011463,0.345824551778036,0.216311494049637,0.342498225542559,0.245863540194895,0.369142412485268,0.575299725987723
4660,0.23919258175639,0.340254917348504,0.216062329874023,0.323246577060082,0.238492408634143,0.343283191940571,0.448429457589931
4661,0.231916620869261,0.318493998113273,0.167300716974535,0.219432160957383,0.226135763389796,0.310503513291333,0.463622662178673
4670,0.233560352386791,0.350593582274346,0.191663422345103,0.301273430394294,0.237053723124625,0.360563668636568,0.39097297901349
4740,0.184294380507084,0.281966106497142,0.173356625024154,0.27272108141868,0.189693849449738,0.292139530075388,0.466969059026024
4860,0.251288942164341,0.333131731858571,0.2053014759451,0.287196868176358,0.230454771092457,0.320941121195628,0.401998189292081
4930,0.172119727965203,0.231665771161697,0.158016893970751,0.226013851392946,0.17439799548173,0.233336618299822,0.452666994230415
4940,0.212799965908888,0.301467822915111,0.161171025658472,0.282374686915593,0.221122744517715,0.309841326440195,0.472392832047887
4950,0.162331456730865,0.229136553442109,0.143015383748818,0.211471256306216,0.164983646218579,0.224958583459362,0.413065813166894
4970,0.241748379583232,0.345846516280492,0.190844213867744,0.332364781903065,0.24911704648367,0.351909627170625,0.504890442734492
5010,0.191240910846827,0.268776358017057,0.166153281456021,0.241616181275356,0.191364780751413,0.268929582934796,0.426756981072948
5011,0.210286189101115,0.316904855717827,0.189118695141358,0.302178789511787,0.211457525515799,0.317041960268192,0.48556776678359
5060,0.249674234566196,0.35137475638375,0.214052679106881,0.308885510305192,0.251951217509697,0.349371677447351,0.471113214033893
5070,0.176129275160065,0.258401464974215,0.149355711928083,0.240473589756162,0.177983653381649,0.266727479499469,0.446247882332649
5080,0.278950806791969,0.379607438214083,0.219311553082299,0.367299973630139,0.304522532053419,0.412814941564622,0.559637345336418
5140,0.279219167527895,0.411042132927684,0.236170642712252,0.399479624043312,0.292599724307294,0.437911935893604,0.494168936259719
5170,0.252051468900077,0.377427876400497,0.215252875942413,0.361146554441629,0.256656139616738,0.386567332562014,0.549117548727891
5190,0.248479833314283,0.361024692706682,0.224188008781603,0.339762831413679,0.246899172847499,0.366088522795125,0.448035274930447
5210,0.216315478346072,0.335248577467391,0.171507583687479,0.315802618537443,0.221862622526564,0.345705659555884,0.424582799972048
5290,0.177221421366834,0.237695062609344,0.155829825228921,0.220803293562714,0.179469745196492,0.247815464376579,0.369221434214523
5330,0.254207725253572,0.366064899642103,0.211960027971298,0.332903525025357,0.247239582242799,0.365714836787277,0.464012533352923
