"AOU","rmse_occ","AUC","rmse_pres","AUC_pres","rmse_gam","AUC_gam","rmse_gam_pres","AUC_gam_pres","rmse_rf","AUC_RF","rmse_rf_pres","AUC_RF_pres","rmse_me_pres","AUC_me_pres"
4610,0.360673931338933,0.701036028170654,0.415565449855412,0.558727243276116,0.349362002116435,0.741109364996217,0.412436833460844,0.603466306455478,0.356291938848169,0.592747802805425,0.414007663799033,0.655303658221217,0.556706224998901,0.633480695326317
4620,0.240912343903329,0.669806178073895,0.326628907201516,0.65170459461798,0.232528300898972,0.614839491217444,0.320413804443312,0.725120756964203,0.241352703085867,0.515142337976984,0.326266077568219,0.704790577648382,0.523545109886815,0.724258025439128
4630,0.094373498451565,0.652609573241061,0.202437314058855,0.717719905299581,0.0680486701672563,0.838547673971549,0.179075843783817,0.878634735627997,0.0932812851936946,0.703623606305267,0.195256458915663,0.797858617131063,0.387078931435228,0.843046196806896
4640,0.174471748996437,0.584453405017921,0.278767363443572,0.757828711563856,0.13957615038052,0.63418458781362,0.258693816310218,0.85243350311262,0.178080266467042,0.659274193548387,0.284482439889681,0.712444192919575,0.44280764338744,0.831211092246746
4641,0.300496549739721,0.650246305418719,0.381931779957872,0.578448275862069,0.260842790194228,0.579802955665025,0.370988990640317,0.674838362068966,0.30847192444274,0.542857142857143,0.395289816139869,0.539412715517241,0.540660442510138,0.716433189655172
4650,0.270160833064053,0.512104675417711,0.36769739701513,0.628908868141204,0.254578351514361,0.492825688459999,0.355557489066104,0.720435616005601,0.25919571018475,0.570447314637281,0.360023461728014,0.726368557438216,0.517893610274567,0.724045115542407
4660,0.208358648187591,0.59217999126256,0.314870200845759,0.716139737081602,0.199129886279309,0.545276928304451,0.310394019807798,0.751511977147033,0.199460661276839,0.614618222416388,0.308470323148199,0.764621186120886,0.488084117141662,0.763150188591616
4661,0.255227322878357,0.548672873818788,0.33065465861705,0.673068962662472,0.239170052927564,0.558747915508616,0.314634818662241,0.77833153958661,0.254442508185077,0.596511951083936,0.323428322821229,0.742499379087673,0.462107065333152,0.791022987554157
4670,0.270569305197156,0.750511116790187,0.346197715694604,0.750518521213885,0.243275424251085,0.477095578839765,0.315256467105526,0.833779837711957,0.253653563668496,0.665825453616151,0.320898608270659,0.814904983261771,0.406895575016338,0.823329815879485
4680,0.232292059103332,0.608376511226252,0.311198367243193,0.717116400759247,0.213551331989018,0.66580310880829,0.303357024728199,0.771174267685836,0.239819923895575,0.782901554404145,0.311062113447736,0.743048786743959,0.468204073004817,0.780382701482583
4690,0.218621207793604,0.550204384986994,0.298857976695254,0.724002849002849,0.199892109371367,0.57785209959123,0.291999691979281,0.779176473017053,0.220401585213305,0.505165366034931,0.304677071448169,0.70093211941038,0.472531517351272,0.777308105206656
4740,0.264290732550958,0.494190929451288,0.324282154871715,0.634076281034603,0.256270641766536,0.522536394176932,0.316742493437115,0.725861525072069,0.252436188060709,0.577967525195969,0.310871966744775,0.763743628492484,0.515130822836319,0.727500224436664
4750,0.227569331983611,0.514985590778098,0.293160227752472,0.649265815836421,0.21773335588043,0.518270893371758,0.285508497233895,0.747102145373039,0.227796426582754,0.604121037463977,0.293405239255209,0.718210511870454,0.514078220619445,0.744869859567266
4770,0.367909854830099,0.790953008344313,0.385371427146887,0.613873762494164,0.358571707087331,0.822438431134083,0.379394383562193,0.676000366844848,0.36440079047584,0.574541400628357,0.381595810158493,0.699414417955388,0.535690667721259,0.682865606151559
