AOU,rmse_occ,rmse_pres,rmse_gam,rmse_gam_pres,rmse_rf,rmse_rf_pres,rmse_me_pres,n_pres,n,glm_diff,gam_diff,rf_diff,PRIMARY_COM_NAME,ALPHA.CODE
4660,0.321888378,0.39992926,0.261365273,0.365015342,0.260302907,0.366918667,0.390383605,414,729,-0.078040882,-0.103650069,-0.10661576,Willow Flycatcher,WIFL
5830,0.285293193,0.382533579,0.216437172,0.307768048,0.290821894,0.403492289,0.395945317,145,235,-0.097240387,-0.091330876,-0.112670395,Lincoln's Sparrow,LISP
6870,0.28451798,0.372594443,0.236950153,0.343848735,0.259882825,0.373110129,0.407407796,394,553,-0.088076463,-0.106898583,-0.113227304,American Redstart,AMRE
5460,0.327462014,0.41776737,0.264802894,0.36762877,0.271253572,0.390978311,0.417277718,448,634,-0.090305356,-0.102825876,-0.119724738,Grasshopper Sparrow,GRSP
6630,0.306402591,0.417164446,0.241725164,0.364195771,0.299492722,0.421772916,0.412543043,172,274,-0.110761855,-0.122470606,-0.122280194,Yellow-throated Warbler,YTWA
6650,0.320740023,0.44059968,0.181778153,0.347055691,0.332928652,0.456391206,0.429144057,85,142,-0.119859657,-0.165277539,-0.123462554,Black-throated Gray Warbler,BTYW
5780,0.341805236,0.372117844,0.050043465,0.000115917,0.30886293,0.433132646,0.409595067,72,93,-0.030312608,0.049927547,-0.124269716,Cassin's Sparrow,CASP
6220,0.237931452,0.362323673,0.199041545,0.321592813,0.217007299,0.341318914,0.35610081,302,666,-0.124392221,-0.122551269,-0.124311615,Loggerhead Shrike,LOSH
6830,0.315767367,0.409082274,0.244213587,0.369988464,0.252477394,0.380908224,0.412915463,394,611,-0.093314907,-0.125774877,-0.128430829,Yellow-breasted Chat,YBCH
6170,0.298877912,0.404712977,0.257501727,0.38068303,0.267269619,0.396026539,0.424652957,682,880,-0.105835065,-0.123181303,-0.12875692,Northern Rough-winged Swallow,NRWS
7670,0.348718866,0.4092215,0.168193113,0.315357626,0.315838525,0.448106931,0.418622734,90,131,-0.060502634,-0.147164513,-0.132268406,Western Bluebird,WEBL
6770,0.297545187,0.406700692,0.230892633,0.334004546,0.263241366,0.397157994,0.419390852,218,307,-0.109155505,-0.103111914,-0.133916627,Kentucky Warbler,KEWA
4590,0.229455477,0.36915379,0.195878859,0.349222785,0.230924172,0.365521758,0.364950125,205,456,-0.139698313,-0.153343926,-0.134597586,Olive-sided Flycatcher,OSFL
3120,0.198150727,0.323074096,0.046485262,0.000259596,0.238629561,0.376533495,0.326870263,65,141,-0.124923369,0.046225667,-0.137903934,Band-tailed Pigeon,BTPI
4060,0.263171836,0.383078527,0.209828707,0.320232855,0.218801086,0.356852458,0.384440553,390,625,-0.119906691,-0.110404148,-0.138051372,Red-headed Woodpecker,RHWO
4970,0.323107662,0.459489453,0.217410149,0.36919268,0.291709752,0.431096732,0.42629305,154,306,-0.136381791,-0.151782531,-0.13938698,Yellow-headed Blackbird,YHBL
4910,0.253693656,0.41076628,0.158569715,0.351978852,0.266338396,0.409381492,0.381674825,85,173,-0.157072624,-0.193409137,-0.143043096,Clark's Nutcracker,CLNU
