"aou","stateroute","occ","presence.x","latitude","longitude","predicted_max_pres"
2881,91068,0,0,42.9178507,-88.7095809,1
2881,91069,0,0,42.6113857,-88.0517639,1
2881,91070,0,0,42.8005177,-87.9862509,1
2881,91167,0,0,43.0002617,-89.6668479,1
2881,91313,0,0,44.9221977,-88.9391789,1
2881,91314,0,0,44.1095107,-87.8918599,1
2881,91315,0,0,43.0674397,-91.0779429,1
2881,91319,0,0,42.9378547,-90.2112029,1
2881,91320,0,0,42.5113107,-89.1104419,1
2881,91322,0,0,44.3429157,-88.0496139,1
2881,92001,0,0,44.9160067,-110.4156649,0
2881,92019,0,0,42.8691687,-106.1200029,1
2881,92030,0,0,44.8808077,-110.7342539,0
2881,92042,0,0,44.3157337,-106.9380789,1
2881,92083,0,0,42.5664457,-106.9904259,1
2881,92084,0,0,42.2489347,-106.5688169,1
2881,92085,0,0,42.2409977,-106.4130859,1
2890,2001,1,1,34.868688,-87.6041417,1
2890,2014,0.666666666666667,1,33.4549551,-86.6010915,1
2890,2022,1,1,32.442715,-87.2158334,1
2890,2024,0.8,1,32.1312407,-86.2754989,1
2890,2025,1,1,32.6594297,-86.7017714,1
2890,2029,0.8,1,32.1473077,-85.0626449,1
2890,2043,0.533333333333333,1,33.1156047,-87.1007539,1
2890,2045,0.933333333333333,1,34.1311637,-87.7621469,1
2890,2047,0.6,1,33.1379607,-87.8205274,1
2890,2050,0.933333333333333,1,32.3276808,-86.7118894,1
2890,2057,0.8,1,34.4236313,-87.3907904,1
2890,2059,0.666666666666667,1,33.2811827,-88.0092154,1
2890,2060,0.666666666666667,1,33.2638251,-87.4241383,1
2890,2065,1,1,32.4341515,-85.8711729,1
2890,2072,0.866666666666667,1,34.9292307,-86.9887629,1
2890,2105,0.8,1,34.2126918,-86.4734413,1
2890,2111,0.933333333333333,1,33.6296357,-85.7466579,1
2890,2156,1,1,33.2905307,-86.3312989,1
2890,2162,0.866666666666667,1,33.9413322,-85.450491,1
2890,2164,1,1,32.822371,-86.1117753,1
2890,2204,1,1,34.7575557,-85.8594579,1
2890,2205,0.666666666666667,1,33.6853138,-88.1671198,1
2890,2211,0.866666666666667,1,32.4860839,-86.5697685,1
2890,2212,0.933333333333333,1,32.5033347,-85.2532189,1
2890,2213,0.933333333333333,1,31.1365731,-88.2207774,1
2890,7005,0.4,1,33.3755757,-93.4706879,1
2890,7008,0.866666666666667,1,34.9269397,-90.5065699,1
2890,7010,0.733333333333333,1,34.0487397,-91.4995419,1
2890,7015,0.866666666666667,1,34.9704407,-94.0440279,1
2890,7019,1,1,35.9114603,-91.3426352,1
2890,7020,0.866666666666667,1,35.6330837,-92.7182699,1
2890,7023,0.466666666666667,1,35.7806777,-93.0696409,1
2890,7024,0.533333333333333,1,35.3514159,-94.3318236,1
2890,7028,0.8,1,36.1206137,-93.2802279,1
2890,7109,0.266666666666667,1,34.7008083,-91.7077371,1
2890,7111,0.733333333333333,1,34.7023815,-92.8007333,1
2890,17037,0.533333333333333,1,40.2631147,-102.7182079,1
2890,17228,0.8,1,37.1640087,-102.2766499,1
2890,21001,0.466666666666667,1,39.5003037,-75.6860679,1
2890,21003,0.733333333333333,1,38.9594417,-75.5366119,1
2890,21010,0.4,1,38.7480537,-75.2899489,1
2890,21105,0.933333333333333,1,39.3705837,-75.6392639,1
2890,21109,0.466666666666667,1,38.7324037,-75.4638509,1
2890,25010,1,1,30.2734632,-83.8569684,1
2890,25014,1,1,29.1916199,-82.394802,1
2890,25018,0.733333333333333,1,29.8899427,-81.3438119,1
2890,25021,1,1,29.8970697,-81.8343049,1
2890,25022,0.733333333333333,1,28.1788407,-81.8605659,1
2890,25024,0.866666666666667,1,27.3232866,-81.4189503,1
2890,25025,0.866666666666667,1,28.7481187,-80.8712309,1
2890,25027,1,1,27.6610372,-82.1462286,1
2890,25028,0.133333333333333,1,25.7510497,-80.9676799,1
2890,25031,0.733333333333333,1,26.9657323,-80.3854635,1
2890,25062,0.8,1,29.9468226,-84.340943,1
2890,25066,0.733333333333333,1,28.6471072,-82.1719367,1
2890,25067,1,1,28.1011187,-80.8980039,1
2890,25069,0.8,1,28.3225489,-81.3372759,1
