"stateroute","mat.point","mat.mean","mat.var","elev.point","elev.mean","elev.var","map.point","map.mean","map.var","ndvi.mean"
2032,181.666666666667,182.015625,6.5150173611111,126,123.875,258.25,112.5,113.8125,3.82361111111111,0.811050476190476
2033,179.416666666667,180.495614035088,3.3460445094217,109,109.894736842105,284.543859649123,120.666666666667,120.061403508772,14.4558966861598,0.807390196078431
2034,179,179.884259259259,0.912695170660857,93,95.0555555555556,233.820261437908,126.5,125.509259259259,13.6445170660857,0.811513809523809
2035,186.083333333333,185.406862745098,11.5988562091503,61,60.8823529411765,111.985294117647,132.666666666667,131.828431372549,3.07853349673203,0.770058208955224
2036,179.666666666667,179.269607843137,0.406709558823531,67,84.6470588235294,611.992647058824,121,122.56862745098,18.2831903594771,0.827487439613527
2037,188.416666666667,188.102941176471,9.8216401143791,54,46.4117647058824,605.757352941176,134.416666666667,133.539215686275,4.13812295751634,0.788056855428739
2038,181.083333333333,181.06862745098,4.05315563725489,72,86.5882352941177,420.632352941176,131.833333333333,130.455882352941,7.05652573529412,0.796686567164179
2039,181,179.984375,3.69649884259259,52,61.3125,269.5625,128.833333333333,127.869791666667,4.02311921296298,0.805587142857143
2040,198.166666666667,195.888888888889,4.06734006734005,3,12.9166666666667,147.901515151515,127.666666666667,130.479166666667,3.86884469696969,0.453013512836095
2041,198.416666666667,197.076388888889,3.86800294612792,10,18.6666666666667,178.424242424242,127.083333333333,128.451388888889,9.76446759259259,0.583447169097573
2042,196.25,196.384615384615,3.95664173789172,23,20.7692307692308,186.025641025641,131.083333333333,129.814102564103,10.5696225071225,0.562306348397892
2043,169.166666666667,167.944444444444,6.04411764705883,134,149.388888888889,828.957516339869,122.166666666667,120.949074074074,1.53932915758896,0.815133036576949
2044,163.083333333333,162.523148148148,8.31601761074799,216,192.888888888889,1491.04575163399,117.833333333333,119.25,1.015522875817,0.801814131652661
2045,152.083333333333,152.805555555556,4.59150326797386,204,206.944444444444,1827.34967320261,125.833333333333,124.666666666667,1.03839869281046,0.823704027143582
2046,154.25,152.893518518519,3.63709604212055,258,258.111111111111,1497.75163398693,118.583333333333,119.305555555556,1.15604575163399,0.803702023809524
2047,170.833333333333,168.861111111111,7.08169934640523,72,86.5,413.441176470588,117.583333333333,119.032407407407,4.5883487654321,0.826152582159624
2048,173.083333333333,173.21568627451,2.12157883986928,42,55.2941176470588,162.220588235294,116.583333333333,117.279411764706,2.51817810457516,0.830441062801932
