"AOU","rmse_occ_notrans","rmse_pres_notrans","rmse_gam_notrans","rmse_gam_pres_notrans","rmse_rf_notrans","rmse_rf_pres_notrans","rmse_me_pres_notrans"
4900,0.292158279626352,0.386162909902006,0.210072406514905,0.345931160408316,0.300694937808378,0.400160398413193,0.408057916192567
4910,0.256373108416154,0.372971692096506,0.131024012777679,0.327658376258199,0.270754686524539,0.388555550371069,0.370947124508808
4930,0.283050730735464,0.308535511633123,0.240231453576617,0.276153326134661,0.260359656553498,0.301015961702778,0.389357114356918
4940,0.361026290928659,0.413027205289407,0.240294344502635,0.277946706969155,0.296696431482,0.359836489311896,0.384579252866298
4950,0.238980552689356,0.250462152313219,0.179458329076185,0.202177525811622,0.185998053937158,0.211600320040371,0.381861147637202
4970,0.32298179140927,0.410029328489065,0.217468089949042,0.312632746310518,0.295211603295998,0.385027916134123,0.40460761484147
4980,0.248189989496326,0.257802888736857,0.216840933850732,0.235905880077788,0.231446728386227,0.254577532690978,0.385508801250283
5010,0.306104467776196,0.339092778033494,0.233819219712897,0.279972863046633,0.254312136894925,0.311594228200701,0.393842464948331
5011,0.358656196839234,0.411945139203861,0.258474229805249,0.328477353789956,0.299930025285061,0.365860443207918,0.374790768161252
5060,0.317525099829944,0.39361997137539,0.227085061023713,0.315650143810257,0.246234887086565,0.358739320091488,0.381559627735614
5070,0.286046138750333,0.325653283966337,0.188646556069924,0.240400243718526,0.190044222596822,0.254444588453076,0.325035475873024
5080,0.359646509276607,0.465535912733228,0.29076461739523,0.40974036869144,0.355181034879144,0.466728507270518,0.444697929450658
5100,0.341819591372272,0.408678552752728,0.262164009275546,0.360590885491898,0.310561598969072,0.394866260709559,0.407685837152993
5110,0.222872879172622,0.230481268491541,0.166460994254869,0.194500463468826,0.188423427233807,0.219949257154676,0.375873971183618
5120,0.282628629914481,0.399765554146684,0.139417546576341,0.32324612384415,0.277523023978474,0.42455131296851,0.40086487670432
5140,0.230775278186188,0.405740012025333,0.1844012585482,0.384443784964672,0.23034222959035,0.398542092991894,0.485792790641558
5170,0.320922966849106,0.427503857969085,0.21954814403346,0.336978861181241,0.284741560147717,0.400514670389616,0.393433642917374
5180,0.332424597408894,0.443738054628463,0.160111997938429,0.354093243288253,0.326325379930686,0.431864951437623,0.417183358340319
5190,0.339970912003215,0.429040742912782,0.279548702570294,0.370805817725118,0.292130518215263,0.392792731570691,0.427137080900171
5210,0.254446615600472,0.364748183484291,0.188996144774647,0.317347458168727,0.229901507125211,0.350897622150977,0.341246310025843
5290,0.254775484777129,0.309251868953038,0.187489961653998,0.260214327939109,0.207502602579332,0.27850062767646,0.386351924175546
5300,0.302536284301031,0.418186234022478,0.186677227017169,0.294786452669488,0.29749987188591,0.41233835267036,0.370057797515566
5330,0.255680957813985,0.367761317346832,0.202605690992626,0.28089001968986,0.255585329534288,0.354277463541865,0.352925919842095
5400,0.36173464653701,0.43181975718435,0.290496698165437,0.384839988988843,0.31243377841408,0.400075501673142,0.394690521276147
5420,0.361026576026197,0.414378211324729,0.31358621414288,0.382206405455716,0.331841556693863,0.395108990358299,0.40732307180614
5460,0.328297443435551,0.453498850430411,0.266694755445934,0.401634150076152,0.277413701534249,0.419715130555138,0.420051492386217
5470,0.160368647212787,0.239493275933153,0.0718656911689291,0.211580318145317,0.166127483710196,0.255829635862922,0.483426239412983
5520,0.324717030425585,0.401392628346651,0.243618396277948,0.343450956522602,0.275222802007222,0.371233388774922,0.368983400141457
