"Aou","stateroute","occ","presence","latitude","longitude","pred_gam_occ","pres_2016","rescale"
3160,25030,0,0,27.9626301,-80.9673345,0.372433491802463,1,1
3160,25064,0,0,29.4080424,-81.1983453,0.294010246690754,1,1
3160,25068,0,0,28.6901383,-81.5469756,0.395505674150116,1,1
3160,25070,0,0,27.7698971,-82.3349393,0.300165837502486,0,1
3160,25071,0,0,27.2920427,-82.0563269,0.328471499354435,0,1
3160,25072,0,0,27.4266407,-81.5833199,0.350211566615955,0,1
3160,25075,0,0,27.8600237,-80.4486919,0.389254549631076,0,1
3160,25082,0,0,26.8751997,-81.3585199,0.312024107676351,1,1
3160,25088,0,0,26.750328,-80.902032,0.333072611064417,1,1
3160,25123,0,0,28.5723877,-81.981682,0.337383667401858,0,1
3160,25129,0,0,27.9007144,-81.7191254,0.393388065564205,0,1
3160,25170,0,0,27.769929,-82.334936,0.300165837502486,1,1
3160,25172,0,0,27.4972377,-81.6004029,0.354219595421917,1,1
3160,25176,0,0,26.6850447,-80.3893099,0.302895723092181,0,1
3160,27030,0,0,34.4948364,-83.5415723,0.298359074918883,1,1
3160,27335,0,0,34.906261,-84.5124264,0.304654598551768,1,1
3160,33001,0,0,48.5817917,-116.3974909,0.31215293865356,0,1
3160,33003,0,0,47.2505272,-115.8109268,0.398305844454095,0,1
3160,33029,0,0,48.4797897,-116.8492509,0.362292057681147,1,1
3160,33202,0,0,47.250284,-116.0228279,0.406590840405983,0,1
3160,33205,0,0,46.4724742,-115.7969686,0.29851192115646,0,1
3160,34007,0,0,41.3974197,-90.0300702,0.306122966830157,1,1
3160,34010,0,0,41.3504896,-89.7704347,0.29862620041724,1,1
3160,34011,0,0,41.3356226,-89.7085965,0.296628979048835,1,1
3160,34019,0,0,40.8036571,-91.0568488,0.316767505129108,1,1
3160,34021,0,0,40.0810774,-90.0013197,0.302624241745853,1,1
3160,34023,0,0,40.9170762,-90.0331516,0.2982213837703,1,1
3160,34024,0,0,40.8602881,-90.5087794,0.308951304133671,1,1
3160,34036,0,0,39.9897988,-90.3451209,0.31754757929613,1,1
3160,34037,0,0,39.4187241,-90.1660041,0.314538848950124,1,1
3160,36004,0,0,40.5712567,-94.6426839,0.305520674653658,1,1
3160,36005,0,0,40.6203037,-95.1210189,0.306753246872138,0,1
3160,36007,0,0,41.5687389,-91.2703838,0.296618691577049,1,1
3160,36016,0,0,41.1311292,-95.3466186,0.316493285110909,1,1
3160,36024,0,0,42.0345317,-94.5711599,0.294826609738311,1,1
3160,36105,0,0,40.6242636,-95.1259581,0.307063288403866,1,1
3160,38001,0,0,37.0321381,-94.9950424,0.295910169145618,1,1
3160,38004,0,0,37.9847547,-96.3936159,0.307224865574055,0,1
3160,38005,0,0,38.0573017,-96.2857509,0.303939694019457,0,1
3160,38018,0,0,38.9447217,-97.2984479,0.366285244595613,0,1
3160,38031,0,0,39.1902871,-97.6123773,0.356335148263993,0,1
3160,38033,0,0,39.7262207,-98.1009369,0.327434013766744,0,1
3160,38133,0,0,39.7262207,-98.100936,0.327434013766744,1,1
3160,38303,0,0,37.7958024,-96.4347911,0.313313576742701,1,1
3160,38311,0,0,38.5224225,-96.9117521,0.347975700112679,1,1
3160,38319,0,0,39.5668011,-97.8192021,0.350429474976624,0,1
3160,38320,0,0,39.5666667,-98.169444,0.297147821187528,0,1
3160,38420,0,0,39.5671077,-98.1535799,0.302935164627882,1,1
3160,45003,0,0,49.51762,-97.68673,0.298577221554209,0,1
3160,45005,0,0,49.38436,-98.02424,0.302991616245791,1,1
3160,45403,0,0,49.51762,-97.68673,0.298577221554209,1,1
3160,46021,0,0,39.0573627,-76.5302869,0.321742058073814,0,1
3160,46025,0,0,38.4066787,-76.5513069,0.327738300391747,0,1
3160,46026,0,0,38.5016307,-76.5747889,0.326371932926201,0,1
3160,46027,0,0,38.168955,-76.5442846,0.319932478712766,0,1
3160,46041,0,0,38.4607494,-76.1997997,0.323733184066,1,1
3160,46053,0,0,39.7216828,-78.9262269,0.298433116598708,1,1
3160,46058,0,0,38.114027,-76.470555,0.330252396670621,1,1
3160,46121,0,0,39.0378914,-76.5142379,0.331000332919241,0,1
3160,46125,0,0,38.4092014,-76.5507449,0.327781355309054,1,1
3160,47020,0,0,42.5757027,-73.2225169,0.2974094468865,0,1
3160,47021,0,0,42.4161992,-73.1828649,0.297543667835896,1,1
3160,47022,0,0,42.1220511,-73.4616041,0.311383705294888,0,1
3160,47120,0,0,42.5582487,-73.3017328,0.314375580075895,0,1
